DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 1,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 2,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 3,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 4,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 5
-489,-302,0,1,,-489,-302,0,1,,-48,-786,1,0,,-438,-796,0,1,,,,,,
-479,-302,0,1,,-479,-302,0,1,,-22,-786,1,0,,-412,-796,0,1,,,,,,
-469,-302,0,1,,-469,-302,0,1,,5,-786,1,0,,-385,-796,0,1,,,,,,
-459,-302,0,1,,-459,-302,0,1,,31,-786,1,0,,-359,-796,0,1,,,,,,
-449,-302,0,1,,-449,-302,0,1,,50,-786,1,0,,-332,-796,0,1,,,,,,
-439,-302,0,1,,-439,-302,0,1,,-650,-756,1,0,,-306,-796,0,1,,,,,,
-429,-302,0,1,,-429,-302,0,1,,-650,-756,1,0,,-279,-796,0,1,,,,,,
-419,-302,0,1,,-419,-302,0,1,,-625,-756,1,0,,-253,-796,1,0,,,,,,
-409,-302,0,1,,-409,-302,0,1,,-600,-756,1,0,,-226,-796,1,0,,,,,,
-399,-302,0,1,,-399,-302,0,1,,-575,-756,1,0,,-199,-796,1,0,,,,,,
-389,-302,0,1,,-389,-302,0,1,,-550,-756,1,0,,-173,-796,1,0,,,,,,
-379,-302,0,1,,-379,-302,0,1,,-524,-756,1,0,,-146,-796,1,0,,,,,,
-369,-302,0,1,,-369,-302,0,1,,-499,-756,1,0,,-120,-796,1,0,,,,,,
-359,-302,0,1,,-359,-302,0,1,,-474,-756,1,0,,-93,-796,1,0,,,,,,
-348,-302,0,1,,-348,-302,0,1,,-449,-756,0,1,,-67,-796,1,0,,,,,,
-338,-302,0,1,,-338,-302,0,1,,-424,-756,0,1,,-40,-796,1,0,,,,,,
-328,-302,0,1,,-328,-302,0,1,,-398,-756,0,1,,-14,-796,1,0,,,,,,
-318,-302,0,1,,-318,-302,0,1,,-373,-756,0,1,,13,-796,1,0,,,,,,
-308,-302,0,1,,-308,-302,0,1,,-348,-756,1,0,,39,-796,1,0,,,,,,
-298,-302,0,1,,-298,-302,0,1,,-323,-756,1,0,,50,-796,1,0,,,,,,
-288,-302,0,1,,-288,-302,0,1,,-298,-756,1,0,,-650,-694,1,0,,,,,,
-278,-302,0,1,,-278,-302,0,1,,-272,-756,1,0,,-650,-694,1,0,,,,,,
-268,-302,0,1,,-268,-302,0,1,,-247,-756,1,0,,-627,-694,1,0,,,,,,
-258,-302,0,1,,-258,-302,0,1,,-222,-756,1,0,,-604,-694,1,0,,,,,,
-248,-302,0,1,,-248,-302,0,1,,-197,-756,1,0,,-581,-694,1,0,,,,,,
-238,-302,0,1,,-238,-302,0,1,,-172,-756,1,0,,-558,-694,1,0,,,,,,
-228,-302,0,1,,-228,-302,0,1,,-146,-756,1,0,,-535,-694,1,0,,,,,,
-218,-302,0,1,,-218,-302,0,1,,-121,-756,1,0,,-512,-694,1,0,,,,,,
-208,-302,0,1,,-208,-302,0,1,,-96,-756,1,0,,-489,-694,0,1,,,,,,
-197,-302,0,1,,-197,-302,0,1,,-71,-756,1,0,,-465,-694,0,1,,,,,,
-187,-302,0,1,,-187,-302,0,1,,-46,-756,1,0,,-442,-694,0,1,,,,,,
-177,-302,0,1,,-177,-302,0,1,,-20,-756,1,0,,-419,-694,0,1,,,,,,
-167,-302,0,1,,-167,-302,0,1,,5,-756,1,0,,-396,-694,0,1,,,,,,
-157,-302,0,1,,-157,-302,0,1,,30,-756,1,0,,-373,-694,0,1,,,,,,
